"","date","hits","teams"
"1630",2005-09-01,"2","Philadelphia Phillies"
"1631",2005-10-01,"1","Philadelphia Phillies"
"1632",2005-11-01,"1","Philadelphia Phillies"
"1633",2005-12-01,"1","Philadelphia Phillies"
"1634",2006-01-01,"1","Philadelphia Phillies"
"1635",2006-02-01,"1","Philadelphia Phillies"
"1636",2006-03-01,"1","Philadelphia Phillies"
"1637",2006-04-01,"2","Philadelphia Phillies"
"1638",2006-05-01,"3","Philadelphia Phillies"
"1639",2006-06-01,"2","Philadelphia Phillies"
"1640",2006-07-01,"2","Philadelphia Phillies"
"1641",2006-08-01,"2","Philadelphia Phillies"
"1642",2006-09-01,"2","Philadelphia Phillies"
"1643",2006-10-01,"1","Philadelphia Phillies"
"1644",2006-11-01,"1","Philadelphia Phillies"
"1645",2006-12-01,"1","Philadelphia Phillies"
"1646",2007-01-01,"1","Philadelphia Phillies"
"1647",2007-02-01,"1","Philadelphia Phillies"
"1648",2007-03-01,"2","Philadelphia Phillies"
"1649",2007-04-01,"3","Philadelphia Phillies"
"1650",2007-05-01,"3","Philadelphia Phillies"
"1651",2007-06-01,"3","Philadelphia Phillies"
"1652",2007-07-01,"3","Philadelphia Phillies"
"1653",2007-08-01,"3","Philadelphia Phillies"
"1654",2007-09-01,"4","Philadelphia Phillies"
"1655",2007-10-01,"3","Philadelphia Phillies"
"1656",2007-11-01,"1","Philadelphia Phillies"
"1657",2007-12-01,"1","Philadelphia Phillies"
"1658",2008-01-01,"1","Philadelphia Phillies"
"1659",2008-02-01,"1","Philadelphia Phillies"
"1660",2008-03-01,"2","Philadelphia Phillies"
"1661",2008-04-01,"3","Philadelphia Phillies"
"1662",2008-05-01,"3","Philadelphia Phillies"
"1663",2008-06-01,"3","Philadelphia Phillies"
"1664",2008-07-01,"3","Philadelphia Phillies"
"1665",2008-08-01,"3","Philadelphia Phillies"
"1666",2008-09-01,"3","Philadelphia Phillies"
"1667",2008-10-01,"14","Philadelphia Phillies"
"1668",2008-11-01,"2","Philadelphia Phillies"
"1669",2008-12-01,"2","Philadelphia Phillies"
"1670",2009-01-01,"1","Philadelphia Phillies"
"1671",2009-02-01,"2","Philadelphia Phillies"
"1672",2009-03-01,"2","Philadelphia Phillies"
"1673",2009-04-01,"4","Philadelphia Phillies"
"1674",2009-05-01,"4","Philadelphia Phillies"
"1675",2009-06-01,"4","Philadelphia Phillies"
"1676",2009-07-01,"5","Philadelphia Phillies"
"1677",2009-08-01,"4","Philadelphia Phillies"
"1678",2009-09-01,"4","Philadelphia Phillies"
"1679",2009-10-01,"13","Philadelphia Phillies"
"1680",2009-11-01,"5","Philadelphia Phillies"
"1681",2009-12-01,"2","Philadelphia Phillies"
"1682",2010-01-01,"1","Philadelphia Phillies"
"1683",2010-02-01,"1","Philadelphia Phillies"
"1684",2010-03-01,"2","Philadelphia Phillies"
"1685",2010-04-01,"5","Philadelphia Phillies"
"1686",2010-05-01,"5","Philadelphia Phillies"
"1687",2010-06-01,"4","Philadelphia Phillies"
"1688",2010-07-01,"4","Philadelphia Phillies"
"1689",2010-08-01,"4","Philadelphia Phillies"
"1690",2010-09-01,"5","Philadelphia Phillies"
"1691",2010-10-01,"11","Philadelphia Phillies"
"1692",2010-11-01,"1","Philadelphia Phillies"
"1693",2010-12-01,"3","Philadelphia Phillies"
"1694",2011-01-01,"2","Philadelphia Phillies"
"1695",2011-02-01,"2","Philadelphia Phillies"
"1696",2011-03-01,"3","Philadelphia Phillies"
"1697",2011-04-01,"8","Philadelphia Phillies"
"1698",2011-05-01,"6","Philadelphia Phillies"
"1699",2011-06-01,"6","Philadelphia Phillies"
"1700",2011-07-01,"7","Philadelphia Phillies"
"1701",2011-08-01,"6","Philadelphia Phillies"
"1702",2011-09-01,"7","Philadelphia Phillies"
"1703",2011-10-01,"5","Philadelphia Phillies"
"1704",2011-11-01,"2","Philadelphia Phillies"
"1705",2011-12-01,"2","Philadelphia Phillies"
"1706",2012-01-01,"1","Philadelphia Phillies"
"1707",2012-02-01,"2","Philadelphia Phillies"
"1708",2012-03-01,"2","Philadelphia Phillies"
"1709",2012-04-01,"5","Philadelphia Phillies"
"1710",2012-05-01,"4","Philadelphia Phillies"
"1711",2012-06-01,"4","Philadelphia Phillies"
"1712",2012-07-01,"4","Philadelphia Phillies"
"1713",2012-08-01,"3","Philadelphia Phillies"
"1714",2012-09-01,"3","Philadelphia Phillies"
"1715",2012-10-01,"1","Philadelphia Phillies"
"1716",2012-11-01,"1","Philadelphia Phillies"
"1717",2012-12-01,"2","Philadelphia Phillies"
"1718",2013-01-01,"1","Philadelphia Phillies"
"1719",2013-02-01,"1","Philadelphia Phillies"
"1720",2013-03-01,"2","Philadelphia Phillies"
"1721",2013-04-01,"5","Philadelphia Phillies"
"1722",2013-05-01,"3","Philadelphia Phillies"
"1723",2013-06-01,"4","Philadelphia Phillies"
"1724",2013-07-01,"4","Philadelphia Phillies"
"1725",2013-08-01,"3","Philadelphia Phillies"
"1726",2013-09-01,"2","Philadelphia Phillies"
"1727",2013-10-01,"1","Philadelphia Phillies"
"1728",2013-11-01,"1","Philadelphia Phillies"
"1729",2013-12-01,"1","Philadelphia Phillies"
"1730",2014-01-01,"1","Philadelphia Phillies"
"1731",2014-02-01,"1","Philadelphia Phillies"
"1732",2014-03-01,"2","Philadelphia Phillies"
"1733",2014-04-01,"4","Philadelphia Phillies"
"1734",2014-05-01,"3","Philadelphia Phillies"
"1735",2014-06-01,"3","Philadelphia Phillies"
"1736",2014-07-01,"3","Philadelphia Phillies"
"1737",2014-08-01,"3","Philadelphia Phillies"
"1738",2014-09-01,"2","Philadelphia Phillies"
"1739",2014-10-01,"1","Philadelphia Phillies"
"1740",2014-11-01,"1","Philadelphia Phillies"
"1741",2014-12-01,"1","Philadelphia Phillies"
"1742",2015-01-01,"1","Philadelphia Phillies"
"1743",2015-02-01,"1","Philadelphia Phillies"
"1744",2015-03-01,"1","Philadelphia Phillies"
"1745",2015-04-01,"3","Philadelphia Phillies"
"1746",2015-05-01,"3","Philadelphia Phillies"
"1747",2015-06-01,"3","Philadelphia Phillies"
"1748",2015-07-01,"3","Philadelphia Phillies"
"1749",2015-08-01,"3","Philadelphia Phillies"
"1750",2015-09-01,"2","Philadelphia Phillies"
"1751",2015-10-01,"1","Philadelphia Phillies"
"1752",2015-11-01,"1","Philadelphia Phillies"
"1753",2015-12-01,"1","Philadelphia Phillies"
"1754",2016-01-01,"1","Philadelphia Phillies"
"1755",2016-02-01,"1","Philadelphia Phillies"
"1756",2016-03-01,"1","Philadelphia Phillies"
"1757",2016-04-01,"4","Philadelphia Phillies"
"1758",2016-05-01,"4","Philadelphia Phillies"
"1759",2016-06-01,"3","Philadelphia Phillies"
"1760",2016-07-01,"3","Philadelphia Phillies"
"1761",2016-08-01,"3","Philadelphia Phillies"
"1762",2016-09-01,"2","Philadelphia Phillies"
"1763",2016-10-01,"1","Philadelphia Phillies"
"1764",2016-11-01,"1","Philadelphia Phillies"
"1765",2016-12-01,"1","Philadelphia Phillies"
"1766",2017-01-01,"1","Philadelphia Phillies"
"1767",2017-02-01,"1","Philadelphia Phillies"
"1768",2017-03-01,"1","Philadelphia Phillies"
"1769",2017-04-01,"4","Philadelphia Phillies"
"1770",2017-05-01,"3","Philadelphia Phillies"
"1771",2017-06-01,"3","Philadelphia Phillies"
"1772",2017-07-01,"3","Philadelphia Phillies"
"1773",2017-08-01,"3","Philadelphia Phillies"
"1774",2017-09-01,"2","Philadelphia Phillies"
"1775",2017-10-01,"1","Philadelphia Phillies"
"1776",2017-11-01,"1","Philadelphia Phillies"
"1777",2017-12-01,"1","Philadelphia Phillies"
"1778",2018-01-01,"1","Philadelphia Phillies"
"1779",2018-02-01,"1","Philadelphia Phillies"
"1780",2018-03-01,"3","Philadelphia Phillies"
"1781",2018-04-01,"6","Philadelphia Phillies"
"1782",2018-05-01,"5","Philadelphia Phillies"
"1783",2018-06-01,"5","Philadelphia Phillies"
"1784",2018-07-01,"7","Philadelphia Phillies"
"1785",2018-08-01,"7","Philadelphia Phillies"
"1786",2018-09-01,"4","Philadelphia Phillies"
"1787",2018-10-01,"1","Philadelphia Phillies"
"1788",2018-11-01,"1","Philadelphia Phillies"
"1789",2018-12-01,"2","Philadelphia Phillies"
"1790",2019-01-01,"3","Philadelphia Phillies"
"1791",2019-02-01,"5","Philadelphia Phillies"
"1792",2019-03-01,"6","Philadelphia Phillies"
"1793",2019-04-01,"11","Philadelphia Phillies"
"1794",2019-05-01,"8","Philadelphia Phillies"
"1795",2019-06-01,"9","Philadelphia Phillies"
"1796",2019-07-01,"8","Philadelphia Phillies"
"1797",2019-08-01,"8","Philadelphia Phillies"
"1798",2019-09-01,"5","Philadelphia Phillies"
"1799",2019-10-01,"2","Philadelphia Phillies"
"1800",2019-11-01,"1","Philadelphia Phillies"
"1801",2019-12-01,"2","Philadelphia Phillies"
"1802",2020-01-01,"1","Philadelphia Phillies"
"1803",2020-02-01,"2","Philadelphia Phillies"
"1804",2020-03-01,"1","Philadelphia Phillies"
"1805",2020-04-01,"1","Philadelphia Phillies"
"1806",2020-05-01,"1","Philadelphia Phillies"
"1807",2020-06-01,"1","Philadelphia Phillies"
"1808",2020-07-01,"1","Philadelphia Phillies"
"1809",2004-01-01,"<1","Washington Nationals"
"1810",2004-02-01,"<1","Washington Nationals"
"1811",2004-03-01,"<1","Washington Nationals"
"1812",2004-04-01,"<1","Washington Nationals"
"1813",2004-05-01,"<1","Washington Nationals"
"1814",2004-06-01,"<1","Washington Nationals"
"1815",2004-07-01,"1","Washington Nationals"
"1816",2004-08-01,"<1","Washington Nationals"
"1817",2004-09-01,"<1","Washington Nationals"
"1818",2004-10-01,"<1","Washington Nationals"
"1819",2004-11-01,"1","Washington Nationals"
"1820",2004-12-01,"1","Washington Nationals"
"1821",2005-01-01,"1","Washington Nationals"
"1822",2005-02-01,"2","Washington Nationals"
"1823",2005-03-01,"3","Washington Nationals"
"1824",2005-04-01,"5","Washington Nationals"
"1825",2005-05-01,"3","Washington Nationals"
"1826",2005-06-01,"4","Washington Nationals"
"1827",2005-07-01,"3","Washington Nationals"
"1828",2005-08-01,"2","Washington Nationals"
"1829",2005-09-01,"2","Washington Nationals"
"1830",2005-10-01,"1","Washington Nationals"
"1831",2005-11-01,"1","Washington Nationals"
"1832",2005-12-01,"<1","Washington Nationals"
"1833",2006-01-01,"1","Washington Nationals"
"1834",2006-02-01,"1","Washington Nationals"
"1835",2006-03-01,"1","Washington Nationals"
"1836",2006-04-01,"2","Washington Nationals"
"1837",2006-05-01,"2","Washington Nationals"
"1838",2006-06-01,"2","Washington Nationals"
"1839",2006-07-01,"2","Washington Nationals"
"1840",2006-08-01,"2","Washington Nationals"
"1841",2006-09-01,"1","Washington Nationals"
"1842",2006-10-01,"<1","Washington Nationals"
"1843",2006-11-01,"<1","Washington Nationals"
"1844",2006-12-01,"<1","Washington Nationals"
"1845",2007-01-01,"1","Washington Nationals"
"1846",2007-02-01,"1","Washington Nationals"
"1847",2007-03-01,"1","Washington Nationals"
"1848",2007-04-01,"2","Washington Nationals"
"1849",2007-05-01,"2","Washington Nationals"
"1850",2007-06-01,"2","Washington Nationals"
"1851",2007-07-01,"2","Washington Nationals"
"1852",2007-08-01,"2","Washington Nationals"
"1853",2007-09-01,"1","Washington Nationals"
"1854",2007-10-01,"1","Washington Nationals"
"1855",2007-11-01,"1","Washington Nationals"
"1856",2007-12-01,"1","Washington Nationals"
"1857",2008-01-01,"1","Washington Nationals"
"1858",2008-02-01,"1","Washington Nationals"
"1859",2008-03-01,"2","Washington Nationals"
"1860",2008-04-01,"3","Washington Nationals"
"1861",2008-05-01,"2","Washington Nationals"
"1862",2008-06-01,"2","Washington Nationals"
"1863",2008-07-01,"2","Washington Nationals"
"1864",2008-08-01,"2","Washington Nationals"
"1865",2008-09-01,"1","Washington Nationals"
"1866",2008-10-01,"<1","Washington Nationals"
"1867",2008-11-01,"<1","Washington Nationals"
"1868",2008-12-01,"<1","Washington Nationals"
"1869",2009-01-01,"1","Washington Nationals"
"1870",2009-02-01,"1","Washington Nationals"
"1871",2009-03-01,"1","Washington Nationals"
"1872",2009-04-01,"2","Washington Nationals"
"1873",2009-05-01,"2","Washington Nationals"
"1874",2009-06-01,"2","Washington Nationals"
"1875",2009-07-01,"2","Washington Nationals"
"1876",2009-08-01,"2","Washington Nationals"
"1877",2009-09-01,"1","Washington Nationals"
"1878",2009-10-01,"<1","Washington Nationals"
"1879",2009-11-01,"<1","Washington Nationals"
"1880",2009-12-01,"<1","Washington Nationals"
"1881",2010-01-01,"1","Washington Nationals"
"1882",2010-02-01,"1","Washington Nationals"
"1883",2010-03-01,"1","Washington Nationals"
"1884",2010-04-01,"2","Washington Nationals"
"1885",2010-05-01,"2","Washington Nationals"
"1886",2010-06-01,"3","Washington Nationals"
"1887",2010-07-01,"2","Washington Nationals"
"1888",2010-08-01,"2","Washington Nationals"
"1889",2010-09-01,"1","Washington Nationals"
"1890",2010-10-01,"<1","Washington Nationals"
"1891",2010-11-01,"<1","Washington Nationals"
"1892",2010-12-01,"1","Washington Nationals"
"1893",2011-01-01,"1","Washington Nationals"
"1894",2011-02-01,"1","Washington Nationals"
"1895",2011-03-01,"1","Washington Nationals"
"1896",2011-04-01,"2","Washington Nationals"
"1897",2011-05-01,"2","Washington Nationals"
"1898",2011-06-01,"2","Washington Nationals"
"1899",2011-07-01,"2","Washington Nationals"
"1900",2011-08-01,"2","Washington Nationals"
"1901",2011-09-01,"1","Washington Nationals"
"1902",2011-10-01,"<1","Washington Nationals"
"1903",2011-11-01,"1","Washington Nationals"
"1904",2011-12-01,"1","Washington Nationals"
"1905",2012-01-01,"1","Washington Nationals"
"1906",2012-02-01,"1","Washington Nationals"
"1907",2012-03-01,"1","Washington Nationals"
"1908",2012-04-01,"3","Washington Nationals"
"1909",2012-05-01,"3","Washington Nationals"
"1910",2012-06-01,"3","Washington Nationals"
"1911",2012-07-01,"3","Washington Nationals"
"1912",2012-08-01,"3","Washington Nationals"
"1913",2012-09-01,"3","Washington Nationals"
"1914",2012-10-01,"4","Washington Nationals"
"1915",2012-11-01,"1","Washington Nationals"
"1916",2012-12-01,"1","Washington Nationals"
"1917",2013-01-01,"1","Washington Nationals"
"1918",2013-02-01,"1","Washington Nationals"
"1919",2013-03-01,"1","Washington Nationals"
"1920",2013-04-01,"3","Washington Nationals"
"1921",2013-05-01,"3","Washington Nationals"
"1922",2013-06-01,"3","Washington Nationals"
"1923",2013-07-01,"3","Washington Nationals"
"1924",2013-08-01,"2","Washington Nationals"
"1925",2013-09-01,"2","Washington Nationals"
"1926",2013-10-01,"1","Washington Nationals"
"1927",2013-11-01,"<1","Washington Nationals"
"1928",2013-12-01,"1","Washington Nationals"
"1929",2014-01-01,"1","Washington Nationals"
"1930",2014-02-01,"1","Washington Nationals"
"1931",2014-03-01,"2","Washington Nationals"
"1932",2014-04-01,"3","Washington Nationals"
"1933",2014-05-01,"3","Washington Nationals"
"1934",2014-06-01,"3","Washington Nationals"
"1935",2014-07-01,"3","Washington Nationals"
"1936",2014-08-01,"3","Washington Nationals"
"1937",2014-09-01,"3","Washington Nationals"
"1938",2014-10-01,"4","Washington Nationals"
"1939",2014-11-01,"1","Washington Nationals"
"1940",2014-12-01,"1","Washington Nationals"
"1941",2015-01-01,"1","Washington Nationals"
"1942",2015-02-01,"1","Washington Nationals"
"1943",2015-03-01,"2","Washington Nationals"
"1944",2015-04-01,"3","Washington Nationals"
"1945",2015-05-01,"3","Washington Nationals"
"1946",2015-06-01,"4","Washington Nationals"
"1947",2015-07-01,"4","Washington Nationals"
"1948",2015-08-01,"4","Washington Nationals"
"1949",2015-09-01,"4","Washington Nationals"
"1950",2015-10-01,"1","Washington Nationals"
"1951",2015-11-01,"1","Washington Nationals"
"1952",2015-12-01,"1","Washington Nationals"
"1953",2016-01-01,"1","Washington Nationals"
"1954",2016-02-01,"1","Washington Nationals"
"1955",2016-03-01,"1","Washington Nationals"
"1956",2016-04-01,"4","Washington Nationals"
"1957",2016-05-01,"4","Washington Nationals"
"1958",2016-06-01,"4","Washington Nationals"
"1959",2016-07-01,"4","Washington Nationals"
"1960",2016-08-01,"3","Washington Nationals"
"1961",2016-09-01,"3","Washington Nationals"
"1962",2016-10-01,"5","Washington Nationals"
"1963",2016-11-01,"1","Washington Nationals"
"1964",2016-12-01,"1","Washington Nationals"
"1965",2017-01-01,"1","Washington Nationals"
"1966",2017-02-01,"1","Washington Nationals"
"1967",2017-03-01,"1","Washington Nationals"
"1968",2017-04-01,"4","Washington Nationals"
"1969",2017-05-01,"4","Washington Nationals"
"1970",2017-06-01,"4","Washington Nationals"
"1971",2017-07-01,"4","Washington Nationals"
"1972",2017-08-01,"3","Washington Nationals"
"1973",2017-09-01,"3","Washington Nationals"
"1974",2017-10-01,"6","Washington Nationals"
"1975",2017-11-01,"1","Washington Nationals"
"1976",2017-12-01,"1","Washington Nationals"
"1977",2018-01-01,"1","Washington Nationals"
"1978",2018-02-01,"1","Washington Nationals"
"1979",2018-03-01,"1","Washington Nationals"
"1980",2018-04-01,"3","Washington Nationals"
"1981",2018-05-01,"3","Washington Nationals"
"1982",2018-06-01,"4","Washington Nationals"
"1983",2018-07-01,"4","Washington Nationals"
"1984",2018-08-01,"4","Washington Nationals"
"1985",2018-09-01,"3","Washington Nationals"
"1986",2018-10-01,"1","Washington Nationals"
"1987",2018-11-01,"1","Washington Nationals"
"1988",2018-12-01,"1","Washington Nationals"
"1989",2019-01-01,"1","Washington Nationals"
"1990",2019-02-01,"1","Washington Nationals"
"1991",2019-03-01,"2","Washington Nationals"
"1992",2019-04-01,"3","Washington Nationals"
"1993",2019-05-01,"3","Washington Nationals"
"1994",2019-06-01,"3","Washington Nationals"
"1995",2019-07-01,"4","Washington Nationals"
"1996",2019-08-01,"4","Washington Nationals"
"1997",2019-09-01,"4","Washington Nationals"
"1998",2019-10-01,"38","Washington Nationals"
"1999",2019-11-01,"2","Washington Nationals"
"2000",2019-12-01,"1","Washington Nationals"
"2001",2020-01-01,"1","Washington Nationals"
"2002",2020-02-01,"1","Washington Nationals"
"2003",2020-03-01,"1","Washington Nationals"
"2004",2020-04-01,"<1","Washington Nationals"
"2005",2020-05-01,"<1","Washington Nationals"
"2006",2020-06-01,"<1","Washington Nationals"
"2007",2020-07-01,"1","Washington Nationals"
"2008",2004-01-01,"<1","Arizona Diamondbacks"
"2009",2004-02-01,"<1","Arizona Diamondbacks"
"2010",2004-03-01,"1","Arizona Diamondbacks"
"2011",2004-04-01,"1","Arizona Diamondbacks"
"2012",2004-05-01,"1","Arizona Diamondbacks"
"2013",2004-06-01,"1","Arizona Diamondbacks"
"2014",2004-07-01,"1","Arizona Diamondbacks"
"2015",2004-08-01,"1","Arizona Diamondbacks"
"2016",2004-09-01,"1","Arizona Diamondbacks"
"2017",2004-10-01,"<1","Arizona Diamondbacks"
"2018",2004-11-01,"<1","Arizona Diamondbacks"
"2019",2004-12-01,"<1","Arizona Diamondbacks"
"2020",2005-01-01,"<1","Arizona Diamondbacks"
"2021",2005-02-01,"<1","Arizona Diamondbacks"
"2022",2005-03-01,"1","Arizona Diamondbacks"
"2023",2005-04-01,"1","Arizona Diamondbacks"
"2024",2005-05-01,"1","Arizona Diamondbacks"
"2025",2005-06-01,"1","Arizona Diamondbacks"
"2026",2005-07-01,"1","Arizona Diamondbacks"
"2027",2005-08-01,"1","Arizona Diamondbacks"
"2028",2005-09-01,"1","Arizona Diamondbacks"
"2029",2005-10-01,"<1","Arizona Diamondbacks"
"2030",2005-11-01,"<1","Arizona Diamondbacks"
"2031",2005-12-01,"<1","Arizona Diamondbacks"
"2032",2006-01-01,"<1","Arizona Diamondbacks"
"2033",2006-02-01,"<1","Arizona Diamondbacks"
"2034",2006-03-01,"1","Arizona Diamondbacks"
"2035",2006-04-01,"1","Arizona Diamondbacks"
"2036",2006-05-01,"1","Arizona Diamondbacks"
"2037",2006-06-01,"1","Arizona Diamondbacks"
"2038",2006-07-01,"1","Arizona Diamondbacks"
"2039",2006-08-01,"1","Arizona Diamondbacks"
"2040",2006-09-01,"1","Arizona Diamondbacks"
"2041",2006-10-01,"<1","Arizona Diamondbacks"
"2042",2006-11-01,"<1","Arizona Diamondbacks"
"2043",2006-12-01,"<1","Arizona Diamondbacks"
"2044",2007-01-01,"<1","Arizona Diamondbacks"
"2045",2007-02-01,"1","Arizona Diamondbacks"
"2046",2007-03-01,"1","Arizona Diamondbacks"
"2047",2007-04-01,"1","Arizona Diamondbacks"
"2048",2007-05-01,"1","Arizona Diamondbacks"
"2049",2007-06-01,"1","Arizona Diamondbacks"
"2050",2007-07-01,"1","Arizona Diamondbacks"
"2051",2007-08-01,"1","Arizona Diamondbacks"
"2052",2007-09-01,"1","Arizona Diamondbacks"
"2053",2007-10-01,"2","Arizona Diamondbacks"
"2054",2007-11-01,"<1","Arizona Diamondbacks"
"2055",2007-12-01,"<1","Arizona Diamondbacks"
"2056",2008-01-01,"<1","Arizona Diamondbacks"
"2057",2008-02-01,"<1","Arizona Diamondbacks"
"2058",2008-03-01,"1","Arizona Diamondbacks"
"2059",2008-04-01,"1","Arizona Diamondbacks"
"2060",2008-05-01,"1","Arizona Diamondbacks"
"2061",2008-06-01,"1","Arizona Diamondbacks"
"2062",2008-07-01,"1","Arizona Diamondbacks"
"2063",2008-08-01,"1","Arizona Diamondbacks"
"2064",2008-09-01,"1","Arizona Diamondbacks"
"2065",2008-10-01,"<1","Arizona Diamondbacks"
"2066",2008-11-01,"<1","Arizona Diamondbacks"
"2067",2008-12-01,"<1","Arizona Diamondbacks"
"2068",2009-01-01,"<1","Arizona Diamondbacks"
"2069",2009-02-01,"<1","Arizona Diamondbacks"
"2070",2009-03-01,"1","Arizona Diamondbacks"
"2071",2009-04-01,"1","Arizona Diamondbacks"
"2072",2009-05-01,"1","Arizona Diamondbacks"
"2073",2009-06-01,"1","Arizona Diamondbacks"
"2074",2009-07-01,"1","Arizona Diamondbacks"
"2075",2009-08-01,"1","Arizona Diamondbacks"
"2076",2009-09-01,"1","Arizona Diamondbacks"
"2077",2009-10-01,"<1","Arizona Diamondbacks"
"2078",2009-11-01,"<1","Arizona Diamondbacks"
"2079",2009-12-01,"<1","Arizona Diamondbacks"
"2080",2010-01-01,"<1","Arizona Diamondbacks"
"2081",2010-02-01,"<1","Arizona Diamondbacks"
"2082",2010-03-01,"1","Arizona Diamondbacks"
"2083",2010-04-01,"1","Arizona Diamondbacks"
"2084",2010-05-01,"1","Arizona Diamondbacks"
"2085",2010-06-01,"1","Arizona Diamondbacks"
"2086",2010-07-01,"1","Arizona Diamondbacks"
"2087",2010-08-01,"1","Arizona Diamondbacks"
"2088",2010-09-01,"1","Arizona Diamondbacks"
"2089",2010-10-01,"<1","Arizona Diamondbacks"
"2090",2010-11-01,"<1","Arizona Diamondbacks"
"2091",2010-12-01,"<1","Arizona Diamondbacks"
"2092",2011-01-01,"<1","Arizona Diamondbacks"
"2093",2011-02-01,"<1","Arizona Diamondbacks"
"2094",2011-03-01,"1","Arizona Diamondbacks"
"2095",2011-04-01,"1","Arizona Diamondbacks"
"2096",2011-05-01,"1","Arizona Diamondbacks"
"2097",2011-06-01,"1","Arizona Diamondbacks"
"2098",2011-07-01,"1","Arizona Diamondbacks"
"2099",2011-08-01,"2","Arizona Diamondbacks"
"2100",2011-09-01,"2","Arizona Diamondbacks"
"2101",2011-10-01,"1","Arizona Diamondbacks"
"2102",2011-11-01,"<1","Arizona Diamondbacks"
"2103",2011-12-01,"<1","Arizona Diamondbacks"
"2104",2012-01-01,"<1","Arizona Diamondbacks"
"2105",2012-02-01,"<1","Arizona Diamondbacks"
"2106",2012-03-01,"1","Arizona Diamondbacks"
"2107",2012-04-01,"2","Arizona Diamondbacks"
"2108",2012-05-01,"1","Arizona Diamondbacks"
"2109",2012-06-01,"1","Arizona Diamondbacks"
"2110",2012-07-01,"1","Arizona Diamondbacks"
"2111",2012-08-01,"1","Arizona Diamondbacks"
"2112",2012-09-01,"1","Arizona Diamondbacks"
"2113",2012-10-01,"<1","Arizona Diamondbacks"
"2114",2012-11-01,"<1","Arizona Diamondbacks"
"2115",2012-12-01,"<1","Arizona Diamondbacks"
"2116",2013-01-01,"<1","Arizona Diamondbacks"
"2117",2013-02-01,"<1","Arizona Diamondbacks"
"2118",2013-03-01,"1","Arizona Diamondbacks"
"2119",2013-04-01,"2","Arizona Diamondbacks"
"2120",2013-05-01,"1","Arizona Diamondbacks"
"2121",2013-06-01,"2","Arizona Diamondbacks"
"2122",2013-07-01,"2","Arizona Diamondbacks"
"2123",2013-08-01,"1","Arizona Diamondbacks"
"2124",2013-09-01,"1","Arizona Diamondbacks"
"2125",2013-10-01,"<1","Arizona Diamondbacks"
"2126",2013-11-01,"<1","Arizona Diamondbacks"
"2127",2013-12-01,"<1","Arizona Diamondbacks"
"2128",2014-01-01,"<1","Arizona Diamondbacks"
"2129",2014-02-01,"<1","Arizona Diamondbacks"
"2130",2014-03-01,"1","Arizona Diamondbacks"
"2131",2014-04-01,"1","Arizona Diamondbacks"
"2132",2014-05-01,"1","Arizona Diamondbacks"
"2133",2014-06-01,"1","Arizona Diamondbacks"
"2134",2014-07-01,"1","Arizona Diamondbacks"
"2135",2014-08-01,"1","Arizona Diamondbacks"
"2136",2014-09-01,"1","Arizona Diamondbacks"
"2137",2014-10-01,"<1","Arizona Diamondbacks"
"2138",2014-11-01,"<1","Arizona Diamondbacks"
"2139",2014-12-01,"<1","Arizona Diamondbacks"
"2140",2015-01-01,"<1","Arizona Diamondbacks"
"2141",2015-02-01,"<1","Arizona Diamondbacks"
"2142",2015-03-01,"1","Arizona Diamondbacks"
"2143",2015-04-01,"2","Arizona Diamondbacks"
"2144",2015-05-01,"1","Arizona Diamondbacks"
"2145",2015-06-01,"2","Arizona Diamondbacks"
"2146",2015-07-01,"2","Arizona Diamondbacks"
"2147",2015-08-01,"1","Arizona Diamondbacks"
"2148",2015-09-01,"1","Arizona Diamondbacks"
"2149",2015-10-01,"<1","Arizona Diamondbacks"
"2150",2015-11-01,"<1","Arizona Diamondbacks"
"2151",2015-12-01,"1","Arizona Diamondbacks"
"2152",2016-01-01,"<1","Arizona Diamondbacks"
"2153",2016-02-01,"1","Arizona Diamondbacks"
"2154",2016-03-01,"1","Arizona Diamondbacks"
"2155",2016-04-01,"3","Arizona Diamondbacks"
"2156",2016-05-01,"2","Arizona Diamondbacks"
"2157",2016-06-01,"2","Arizona Diamondbacks"
"2158",2016-07-01,"1","Arizona Diamondbacks"
"2159",2016-08-01,"1","Arizona Diamondbacks"
"2160",2016-09-01,"1","Arizona Diamondbacks"
"2161",2016-10-01,"<1","Arizona Diamondbacks"
"2162",2016-11-01,"<1","Arizona Diamondbacks"
"2163",2016-12-01,"<1","Arizona Diamondbacks"
"2164",2017-01-01,"<1","Arizona Diamondbacks"
"2165",2017-02-01,"<1","Arizona Diamondbacks"
"2166",2017-03-01,"1","Arizona Diamondbacks"
"2167",2017-04-01,"2","Arizona Diamondbacks"
"2168",2017-05-01,"2","Arizona Diamondbacks"
"2169",2017-06-01,"3","Arizona Diamondbacks"
"2170",2017-07-01,"3","Arizona Diamondbacks"
"2171",2017-08-01,"2","Arizona Diamondbacks"
"2172",2017-09-01,"3","Arizona Diamondbacks"
"2173",2017-10-01,"3","Arizona Diamondbacks"
"2174",2017-11-01,"<1","Arizona Diamondbacks"
"2175",2017-12-01,"<1","Arizona Diamondbacks"
"2176",2018-01-01,"<1","Arizona Diamondbacks"
"2177",2018-02-01,"1","Arizona Diamondbacks"
"2178",2018-03-01,"1","Arizona Diamondbacks"
"2179",2018-04-01,"3","Arizona Diamondbacks"
